train_loss,train_accuracy,epoch,step
0.6948565244674683,0.46875,0,49
0.6906455159187317,0.59375,0,99
0.6945762038230896,0.4375,0,149
0.692354679107666,0.578125,0,199
0.692846953868866,0.578125,0,249
0.6893188953399658,0.546875,0,299
0.698191225528717,0.40625,0,349
0.6965964436531067,0.4375,0,399
0.6951864361763,0.453125,0,449
0.6906511187553406,0.578125,0,499
0.6925461888313293,0.515625,0,549
0.69675213098526,0.46875,0,599
0.6925442218780518,0.515625,0,649
0.6997881531715393,0.4375,0,699
0.693347692489624,0.421875,0,749
0.6933014392852783,0.5,0,799
0.6936457753181458,0.484375,0,849
0.6954639554023743,0.453125,0,899
0.6865111589431763,0.609375,0,949
0.6928110718727112,0.515625,0,999
0.6930538415908813,0.515625,0,1049
0.6930586099624634,0.5,0,1099
0.6935303211212158,0.484375,0,1149
0.6934193968772888,0.5,0,1199
0.6924973130226135,0.53125,0,1249
0.6934805512428284,0.5,0,1299
0.6931465864181519,0.5,0,1349
0.6934153437614441,0.5,0,1399
0.6940723657608032,0.4375,0,1449
0.6940343379974365,0.421875,0,1499
0.6911153197288513,0.59375,0,1549
0.6927435398101807,0.484375,0,1599
0.6939911246299744,0.46875,0,1649
0.6936588883399963,0.421875,0,1699
0.6963897943496704,0.421875,0,1749
0.6893585324287415,0.59375,0,1799
