train_loss,train_accuracy,epoch,step,val_loss,val_accuracy
0.6930502653121948,0.513671875,0,49,,
0.6936764717102051,0.49658203125,0,99,,
,,0,128,0.6931009888648987,0.49992039799690247
0.6931965947151184,0.5010128021240234,1,149,,
0.6927129030227661,0.49936485290527344,1,199,,
0.6931496262550354,0.49847412109375,1,249,,
,,1,257,0.6931384801864624,0.4998694360256195
0.6931697130203247,0.5002403259277344,2,299,,
0.6933412551879883,0.5023288726806641,2,349,,
,,2,386,0.6931455135345459,0.49983781576156616
0.692994236946106,0.4984931945800781,3,399,,
0.6928863525390625,0.5081062316894531,3,449,,
0.6944868564605713,0.48626708984375,3,499,,
,,3,515,0.693130373954773,0.49986734986305237
0.6931229829788208,0.49365806579589844,4,549,,
0.6935850381851196,0.4981575012207031,4,599,,
,,4,644,0.6931174993515015,0.4998897910118103
0.6922905445098877,0.5010757446289062,5,649,,
0.6929455399513245,0.4980926513671875,5,699,,
0.6929217576980591,0.5008926391601562,5,749,,
,,5,773,0.6931068897247314,0.49988776445388794
0.6932724714279175,0.4985027313232422,6,799,,
0.6928954720497131,0.503570556640625,6,849,,
0.6931141018867493,0.5031280517578125,6,899,,
,,6,902,0.6930966973304749,0.4998754560947418
0.6929583549499512,0.49759674072265625,7,949,,
0.6932677626609802,0.4935169219970703,7,999,,
,,7,1031,0.6930850744247437,0.4998781681060791
0.6932618618011475,0.4969959259033203,8,1049,,
0.6928569674491882,0.49894142150878906,8,1099,,
0.6927846670150757,0.4984169006347656,8,1149,,
,,8,1160,0.693070113658905,0.4998895823955536
0.6931809186935425,0.4994049072265625,9,1199,,
0.692288339138031,0.49645233154296875,9,1249,,
,,9,1289,0.6930482983589172,0.4998597800731659
0.6926570534706116,0.49895477294921875,10,1299,,
0.6934689879417419,0.500762939453125,10,1349,,
0.6927759647369385,0.5,10,1399,,
,,10,1418,0.6930078864097595,0.49980640411376953
