train_loss,train_accuracy,epoch,step
0.6935592889785767,0.453125,0,49
0.6965759992599487,0.421875,0,99
0.6932697296142578,0.484375,0,149
0.6886013150215149,0.609375,0,199
0.6940468549728394,0.4375,0,249
0.6934255957603455,0.515625,0,299
0.6923641562461853,0.578125,0,349
0.6875144839286804,0.59375,0,399
0.692045271396637,0.53125,0,449
0.6932711601257324,0.421875,0,499
0.6842515468597412,0.625,0,549
0.6923178434371948,0.59375,0,599
0.6959338188171387,0.4375,0,649
0.6905115246772766,0.5,0,699
0.6910080909729004,0.59375,0,749
0.6920567750930786,0.578125,0,799
0.6970838308334351,0.421875,0,849
0.6997525095939636,0.40625,0,899
